,state,zipcode,1,2,3,4,5,6,wealth,all,wealthy_prop
2393,CA,94925,950.0,520.0,460.0,410.0,1020.0,1620.0,2640.0,4980.0,0.53
2728,CA,95762,4460.0,2360.0,1860.0,1810.0,6100.0,5510.0,11610.0,22100.0,0.53
10065,MA,1748,1910.0,870.0,700.0,560.0,1860.0,2640.0,4500.0,8540.0,0.53
2015,CA,93108,840.0,540.0,410.0,340.0,860.0,1530.0,2390.0,4520.0,0.53
10443,MD,20777,370.0,160.0,140.0,130.0,390.0,510.0,900.0,1700.0,0.53
10142,MA,2025,840.0,420.0,330.0,270.0,750.0,1350.0,2100.0,3960.0,0.53
4404,FL,34242,690.0,410.0,350.0,330.0,740.0,1260.0,2000.0,3780.0,0.53
2220,CA,94010,3790.0,2220.0,1950.0,1730.0,3910.0,7220.0,11130.0,20820.0,0.53
16179,NJ,7738,760.0,290.0,260.0,230.0,790.0,940.0,1730.0,3270.0,0.53
16233,NJ,7922,1160.0,600.0,550.0,470.0,1350.0,1780.0,3130.0,5910.0,0.53
16238,NJ,7931,380.0,160.0,150.0,70.0,270.0,600.0,870.0,1630.0,0.53
2348,CA,94588,2970.0,1760.0,1530.0,1510.0,4420.0,4510.0,8930.0,16700.0,0.53
22952,TX,75022,2680.0,1160.0,830.0,800.0,2890.0,3340.0,6230.0,11700.0,0.53
